index,elelment,x,y,z
29963,H,3.902,5.964,7.192
29964,H,3.984,5.964,7.064
29965,O,7.694,1.544,9.874
29966,H,7.617,1.576,9.826
29967,H,7.676,1.563,9.965
29968,O,7.158,5.816,5.116
29969,H,7.107,5.896,5.128
29970,H,7.245,5.838,5.15
29971,O,8.345,0.338,8.018
29972,H,8.31,0.268,7.962
29973,H,8.336,0.417,7.966
29974,O,3.074,0.635,8.357
29975,H,2.984,0.604,8.368
29976,H,3.128,0.567,8.396
29977,O,7.035,7.836,10.933
29978,H,6.992,7.75,10.932
29979,H,7.083,7.838,11.015
29980,O,2.972,7.974,11.12
29981,H,2.911,7.936,11.183
29982,H,3.058,7.948,11.152
29983,O,3.66,4.136,8.182
29984,H,3.687,4.228,8.181
29985,H,3.638,4.12,8.274
29986,O,2.842,1.337,10.536
29987,H,2.758,1.302,10.506
29988,H,2.897,1.26,10.547
29989,O,4.627,4.123,11.953
29990,H,4.552,4.122,11.893
29991,H,4.636,4.214,11.98
29992,O,1.39,7.55,6.116
29993,H,1.415,7.604,6.04
29994,H,1.301,7.52,6.096
29995,O,3.316,5.552,9.653
29996,H,3.315,5.522,9.743
29997,H,3.243,5.614,9.647
29998,O,5.79,5.532,6.231
29999,H,5.731,5.509,6.303
30000,H,5.869,5.565,6.274
30001,O,3.542,0.516,8.824
30002,H,3.562,0.531,8.917
30003,H,3.47,0.576,8.806
30004,O,6.649,2.103,11.299
30005,H,6.716,2.165,11.328
30006,H,6.585,2.102,11.369
30007,O,3.41,7.134,5.855
30008,H,3.329,7.183,5.862
30009,H,3.475,7.186,5.903
30010,O,0.155,7.74,9.273
30011,H,0.146,7.835,9.283
30012,H,0.154,7.726,9.178
30013,O,4.017,2.742,6.725
30014,H,4.099,2.732,6.677
30015,H,3.954,2.77,6.659
30016,O,7.882,4.227,10.822
30017,H,7.805,4.284,10.818
30018,H,7.899,4.202,10.731
30019,O,1.569,7.95,8.391
30020,H,1.516,7.878,8.426
30021,H,1.515,8.028,8.403
30022,O,5.613,7.678,6.384
30023,H,5.569,7.594,6.378
30024,H,5.542,7.742,6.392
30025,O,7.952,-0.014,11.298
30026,H,7.983,0.013,11.211
30027,H,8.013,0.028,11.359
30028,O,5.704,6.611,10.681
30029,H,5.776,6.632,10.739
30030,H,5.639,6.68,10.696
30031,O,6.797,6.279,10.574
30032,H,6.735,6.232,10.63
30033,H,6.772,6.371,10.583
30034,O,2.07,2.447,10.81
30035,H,2.153,2.45,10.856
30036,H,2.02,2.378,10.853
30037,O,6.233,7.36,6.851
30038,H,6.203,7.387,6.938
30039,H,6.158,7.375,6.794
30040,O,0.039,2.534,9.27
30041,H,0.092,2.61,9.295
30042,H,0.076,2.505,9.187
30043,O,4.099,6.97,9.237
30044,H,4.063,7.047,9.193
30045,H,4.095,6.991,9.33
30046,O,5.391,1.955,7.109
30047,H,5.455,1.896,7.069
30048,H,5.408,1.949,7.203
30049,O,1.666,2.909,11.384
30050,H,1.683,2.984,11.327
30051,H,1.575,2.922,11.413
30052,O,2.783,2.283,9.908
30053,H,2.776,2.188,9.893
30054,H,2.721,2.3,9.979
30055,O,6.828,2.765,6.079
30056,H,6.866,2.81,6.155
30057,H,6.743,2.808,6.066
30058,O,6.541,5.52,10.354
30059,H,6.597,5.545,10.28
30060,H,6.532,5.601,10.405
30061,O,7.378,2.92,5.769
30062,H,7.325,2.873,5.834
30063,H,7.45,2.957,5.82
30064,O,1.243,1.444,8.158
30065,H,1.18,1.372,8.153
30066,H,1.317,1.408,8.206
30067,O,7.484,3.632,10.708
30068,H,7.528,3.672,10.634
30069,H,7.398,3.673,10.712
30070,O,3.637,5.702,9.058
30071,H,3.57,5.765,9.083
30072,H,3.644,5.643,9.133
30073,O,1.887,2.584,10.605
30074,H,1.798,2.617,10.589
30075,H,1.933,2.658,10.645
30076,O,2.037,6.069,10.066
30077,H,2.088,5.989,10.073
30078,H,2.05,6.114,10.15
30079,O,2.51,6.337,10.337
30080,H,2.555,6.268,10.387
30081,H,2.501,6.301,10.249
30082,O,7.742,5.478,10.404
30083,H,7.809,5.432,10.454
30084,H,7.791,5.545,10.356
30085,O,0.23,5.977,8.98
30086,H,0.236,6.002,9.072
30087,H,0.143,6.006,8.953
30088,O,3.186,0.934,7.126
30089,H,3.163,1.025,7.146
30090,H,3.223,0.938,7.038
30091,O,7.772,3.317,8.915
30092,H,7.787,3.241,8.858
30093,H,7.69,3.355,8.883
30094,O,1.972,4.93,7.557
30095,H,1.909,4.865,7.526
30096,H,1.997,4.978,7.478
30097,O,2.224,4.733,9.18
30098,H,2.168,4.805,9.151
30099,H,2.313,4.767,9.173
30100,O,0.876,2.499,6.917
30101,H,0.971,2.503,6.905
30102,H,0.864,2.465,7.005
30103,O,5.692,7.165,10.715
30104,H,5.735,7.165,10.8
30105,H,5.627,7.235,10.721
30106,O,8.353,2.781,10.81
30107,H,8.355,2.865,10.857
30108,H,8.437,2.741,10.829
30109,O,0.926,7.52,11.683
30110,H,0.985,7.57,11.626
30111,H,0.982,7.452,11.72
30112,O,1.122,2.557,6.848
30113,H,1.156,2.644,6.826
30114,H,1.138,2.506,6.768
30115,O,5.054,1.029,8.625
30116,H,4.994,1.04,8.698
30117,H,5.134,0.994,8.664
30118,O,0.127,5.325,8.471
30119,H,0.118,5.337,8.566
30120,H,0.116,5.231,8.457
30121,O,2.296,6.581,5.848
30122,H,2.261,6.525,5.918
30123,H,2.234,6.654,5.844
30124,O,2.724,0.173,7.477
30125,H,2.677,0.256,7.487
30126,H,2.657,0.106,7.489
30127,O,7.458,0.788,11.24
30128,H,7.495,0.701,11.251
30129,H,7.532,0.847,11.251
30130,O,5.522,2.112,4.299
30131,H,5.469,2.189,4.282
30132,H,5.607,2.131,4.258
30133,O,7.528,5.832,10.004
30134,H,7.474,5.77,9.955
30135,H,7.571,5.778,10.071
30136,O,1.591,1.235,6.949
30137,H,1.681,1.246,6.978
30138,H,1.542,1.212,7.028
30139,O,1.1,6.369,11.099
30140,H,1.093,6.462,11.119
30141,H,1.146,6.331,11.174
30142,O,5.15,2.568,8.326
30143,H,5.113,2.642,8.373
30144,H,5.075,2.514,8.303
30145,O,8.093,2.728,11.494
30146,H,8.144,2.712,11.414
30147,H,8.153,2.772,11.553
30148,O,6.382,7.28,10.298
30149,H,6.477,7.275,10.291
30150,H,6.366,7.344,10.367
30151,O,1.331,0.369,11.097
30152,H,1.262,0.303,11.111
30153,H,1.291,0.451,11.124
30154,O,0.446,6.239,10.017
30155,H,0.477,6.211,9.931
30156,H,0.356,6.267,10.002
30157,O,7.28,5.515,8.405
30158,H,7.351,5.454,8.425
30159,H,7.321,5.602,8.409
30160,O,1.142,2.421,6.262
30161,H,1.133,2.378,6.177
30162,H,1.054,2.449,6.285
30163,O,8.01,1.476,5.595
30164,H,7.996,1.491,5.501
30165,H,8.091,1.425,5.6
30166,O,0.169,7.19,6.683
30167,H,0.119,7.189,6.765
30168,H,0.244,7.247,6.701
30169,O,8.289,5.866,6.797
30170,H,8.353,5.851,6.728
30171,H,8.274,5.96,6.796
30172,O,2.501,6.356,5.484
30173,H,2.431,6.329,5.424
30174,H,2.455,6.392,5.559
30175,O,0.395,1.093,7.947
30176,H,0.35,1.175,7.926
30177,H,0.384,1.039,7.869
30178,O,5.155,0.164,6.917
30179,H,5.172,0.072,6.936
30180,H,5.098,0.193,6.988
30181,O,5.952,2.447,7.275
30182,H,5.909,2.479,7.355
30183,H,5.944,2.52,7.213
30184,O,7.149,5.445,6.709
30185,H,7.148,5.413,6.618
30186,H,7.24,5.434,6.737
30187,O,5.949,5.891,8.754
30188,H,6.042,5.895,8.731
30189,H,5.904,5.935,8.682
30190,O,6.983,2.395,9.133
30191,H,6.897,2.384,9.093
30192,H,7.018,2.307,9.14
30193,O,1.452,3.466,8.884
30194,H,1.421,3.445,8.972
30195,H,1.524,3.405,8.868
30196,O,0.918,2.1,8.892
30197,H,0.875,2.044,8.957
30198,H,0.884,2.188,8.911
30199,O,2.844,2.996,10.425
30200,H,2.861,2.996,10.331
30201,H,2.75,2.979,10.432
30202,O,5.678,7.727,8.346
30203,H,5.74,7.697,8.412
30204,H,5.592,7.704,8.382
30205,O,4.97,5.42,6.243
30206,H,4.896,5.459,6.291
30207,H,4.958,5.45,6.153
30208,O,4.653,2.848,8.526
30209,H,4.682,2.772,8.576
30210,H,4.635,2.915,8.592
30211,O,5.832,0.487,5.768
30212,H,5.833,0.395,5.743
30213,H,5.864,0.534,5.691
30214,O,1.355,6.166,5.454
30215,H,1.308,6.248,5.44
30216,H,1.4,6.177,5.537
30217,O,7.325,1.675,7.57
30218,H,7.377,1.654,7.648
30219,H,7.307,1.59,7.53
30220,O,3.491,1.293,10.283
30221,H,3.454,1.368,10.331
30222,H,3.484,1.318,10.191
30223,O,6.351,3.857,6.771
30224,H,6.367,3.944,6.736
30225,H,6.258,3.841,6.754
30226,O,6.329,7.657,11.534
30227,H,6.386,7.617,11.6
30228,H,6.333,7.751,11.553
30229,O,1.149,7.05,9.159
30230,H,1.219,7.102,9.197
30231,H,1.186,6.962,9.151
30232,O,0.078,2.468,10.779
30233,H,0.14,2.454,10.707
30234,H,-0.002,2.425,10.749
30235,O,4.343,7.249,8.891
30236,H,4.43,7.29,8.886
30237,H,4.304,7.264,8.805
30238,O,4.211,6.64,5.236
30239,H,4.259,6.696,5.296
30240,H,4.275,6.577,5.205
30241,O,3.435,5.405,6.831
30242,H,3.415,5.496,6.811
30243,H,3.515,5.385,6.782
30244,O,4.057,4.299,6.182
30245,H,4.033,4.238,6.251
30246,H,4.02,4.383,6.21
30247,O,0.62,4.543,8.173
30248,H,0.691,4.581,8.225
30249,H,0.662,4.515,8.092
30250,O,4.902,4.151,9.408
30251,H,4.986,4.154,9.364
30252,H,4.923,4.141,9.501
30253,O,0.65,1.772,6.553
30254,H,0.705,1.78,6.475
30255,H,0.588,1.703,6.532
30256,O,5.622,6.37,9.294
30257,H,5.532,6.34,9.3
30258,H,5.668,6.32,9.361
30259,O,0.778,1.134,10.54
30260,H,0.753,1.046,10.57
30261,H,0.709,1.159,10.479
30262,O,2.588,1.158,8.094
30263,H,2.603,1.066,8.118
30264,H,2.537,1.154,8.013
30265,O,4.924,4.63,5.385
30266,H,4.943,4.684,5.309
30267,H,4.829,4.636,5.396
30268,O,1.164,0.819,10.081
30269,H,1.161,0.729,10.049
30270,H,1.073,0.841,10.101
30271,O,7.046,6.927,11.053
30272,H,7.085,7.014,11.043
30273,H,6.968,6.929,10.998
30274,O,2.027,6.166,8.038
30275,H,1.971,6.173,8.115
30276,H,2.031,6.256,8.004
30277,O,3.594,3.171,11.854
30278,H,3.556,3.126,11.778
30279,H,3.518,3.209,11.899
30280,O,3.459,5.012,8.048
30281,H,3.501,4.926,8.053
30282,H,3.522,5.071,8.088
30283,O,1.879,0.716,8.382
30284,H,1.892,0.809,8.361
30285,H,1.785,0.707,8.395
30286,O,4.292,1.449,10.448
30287,H,4.35,1.487,10.514
30288,H,4.214,1.423,10.496
30289,O,2.848,6.975,7.592
30290,H,2.835,7.021,7.509
30291,H,2.878,6.887,7.567
30292,O,0.133,6.835,6.576
30293,H,0.214,6.845,6.527
30294,H,0.073,6.897,6.536
30295,O,5.659,3.146,6.911
30296,H,5.735,3.202,6.924
30297,H,5.696,3.058,6.898
30298,O,4.578,2.505,6.043
30299,H,4.58,2.563,5.967
30300,H,4.648,2.537,6.1
30301,O,6.725,4.841,6.889
30302,H,6.717,4.936,6.878
30303,H,6.702,4.826,6.981
30304,O,6.982,0.672,9.476
30305,H,6.929,0.683,9.397
30306,H,7.071,0.657,9.444
30307,O,7.074,5.989,11.638
30308,H,7.03,6.07,11.664
30309,H,7.165,6.001,11.664
30310,O,2.988,3.887,11.368
30311,H,2.963,3.876,11.46
30312,H,3.084,3.881,11.369
30313,O,5.594,5.409,11.047
30314,H,5.622,5.326,11.085
30315,H,5.66,5.43,10.981
30316,O,3.86,1.946,7.922
30317,H,3.79,1.911,7.866
30318,H,3.816,2.007,7.981
30319,O,7.01,6.123,10.274
30320,H,6.993,6.038,10.234
30321,H,7.005,6.106,10.369
30322,O,8.323,2.697,7.745
30323,H,8.405,2.69,7.696
30324,H,8.337,2.646,7.824
30325,O,8.446,6.635,6.389
30326,H,8.368,6.617,6.336
30327,H,8.441,6.728,6.408
30328,O,1.099,1.256,11.143
30329,H,1.086,1.327,11.205
30330,H,1.121,1.299,11.06
30331,O,2.055,3.658,7.573
30332,H,1.979,3.717,7.567
30333,H,2.057,3.634,7.666
30334,O,2.92,6.964,8.153
30335,H,2.959,7.044,8.117
30336,H,2.872,6.926,8.079
30337,O,6.954,7.686,6.834
30338,H,6.913,7.746,6.773
30339,H,6.933,7.721,6.92
30340,O,7.203,1.868,6.809
30341,H,7.224,1.819,6.888
30342,H,7.276,1.851,6.749
30343,O,0.772,0.022,9.377
30344,H,0.796,-0.027,9.298
30345,H,0.846,0.009,9.437
30346,O,0.546,7.424,10.818
30347,H,0.464,7.461,10.852
30348,H,0.519,7.345,10.772
30349,O,4.411,5.467,7.333
30350,H,4.45,5.38,7.339
30351,H,4.335,5.456,7.275
30352,O,4.706,7.483,8.631
30353,H,4.749,7.565,8.654
30354,H,4.762,7.445,8.563
30355,O,8.164,0.392,6.625
30356,H,8.2,0.339,6.553
30357,H,8.236,0.401,6.687
30358,O,0.922,4.038,5.8
30359,H,0.983,4.088,5.856
30360,H,0.963,3.952,5.792
30361,O,5.819,1.663,9.32
30362,H,5.785,1.752,9.332
30363,H,5.812,1.648,9.225
30364,O,0.5,1.135,5.347
30365,H,0.528,1.226,5.353
30366,H,0.492,1.106,5.438
30367,O,7.256,0.457,10.984
30368,H,7.253,0.365,10.957
30369,H,7.336,0.491,10.945
30370,O,6.412,0.542,10.384
30371,H,6.504,0.544,10.412
30372,H,6.395,0.632,10.356
30373,O,7.096,2.136,7.15
30374,H,7.073,2.15,7.058
30375,H,7.177,2.185,7.162
30376,O,5.322,1,10.141
30377,H,5.372,1.078,10.118
30378,H,5.274,0.978,10.062
30379,O,4.053,1.286,6.775
30380,H,4.082,1.359,6.721
30381,H,4.124,1.272,6.837
30382,O,6.328,1.848,7.384
30383,H,6.411,1.877,7.424
30384,H,6.353,1.771,7.333
30385,O,5.017,1.56,6.44
30386,H,5.039,1.635,6.495
30387,H,5.101,1.525,6.411
30388,O,4.42,2.738,9.982
30389,H,4.396,2.762,10.071
30390,H,4.406,2.818,9.931
30391,O,1.776,2.525,11.623
30392,H,1.779,2.517,11.528
30393,H,1.703,2.586,11.64
30394,O,7.62,7.581,6.654
30395,H,7.623,7.64,6.729
30396,H,7.708,7.585,6.617
30397,O,7.699,2.895,5.701
30398,H,7.694,2.942,5.618
30399,H,7.741,2.957,5.761
30400,O,7.804,6.943,11.018
30401,H,7.808,6.881,11.091
30402,H,7.891,6.984,11.018
30403,O,6.135,6.257,6.551
30404,H,6.173,6.251,6.463
30405,H,6.086,6.175,6.561
30406,O,2.244,2.593,8.011
30407,H,2.228,2.639,7.928
30408,H,2.339,2.582,8.014
30409,O,3.642,1.804,6.683
30410,H,3.728,1.776,6.651
30411,H,3.651,1.801,6.779
30412,O,5.565,2.535,11.925
30413,H,5.567,2.524,12.02
30414,H,5.657,2.547,11.9
30415,O,4.177,3.972,11.615
30416,H,4.212,4.024,11.688
30417,H,4.23,3.893,11.614
30418,O,0.262,0.69,9.192
30419,H,0.224,0.708,9.105
30420,H,0.275,0.777,9.231
30421,O,6.937,6.238,5.803
30422,H,6.984,6.313,5.84
30423,H,6.957,6.242,5.709
30424,O,0.779,2.293,5.501
30425,H,0.763,2.352,5.574
30426,H,0.872,2.273,5.506
30427,O,3.054,5.372,4.854
30428,H,3.083,5.425,4.929
30429,H,2.961,5.356,4.871
30430,O,5.419,2.37,7.872
30431,H,5.48,2.315,7.921
30432,H,5.332,2.341,7.901
30433,O,1.64,1.485,7.164
30434,H,1.642,1.41,7.222
30435,H,1.732,1.51,7.152
30436,O,6.028,1.089,9.704
30437,H,6.006,1.149,9.632
30438,H,6.086,1.025,9.665
30439,O,3.164,6.265,9.578
30440,H,3.166,6.349,9.623
30441,H,3.256,6.236,9.576
30442,O,3.523,6.562,8.301
30443,H,3.602,6.601,8.34
30444,H,3.456,6.569,8.369
30445,O,7.777,4.44,8.571
30446,H,7.84,4.512,8.568
30447,H,7.694,4.48,8.545
30448,O,1.174,4.105,5.934
30449,H,1.228,4.066,5.865
30450,H,1.208,4.066,6.015
30451,O,4.306,5.984,6.201
30452,H,4.31,5.906,6.147
30453,H,4.222,6.024,6.18
30454,O,5.345,1.934,5.611
30455,H,5.425,1.984,5.628
30456,H,5.274,1.989,5.644
30457,O,5.656,5.941,5.896
30458,H,5.728,5.88,5.88
30459,H,5.612,5.907,5.974
30460,O,7.378,4.877,8.827
30461,H,7.429,4.906,8.903
30462,H,7.287,4.886,8.856
30463,O,4.673,3.109,8.677
30464,H,4.768,3.115,8.663
30465,H,4.653,3.178,8.74
30466,O,4.327,3.087,4.872
30467,H,4.267,3.158,4.895
30468,H,4.348,3.045,4.955
30469,O,1.968,7.742,5.815
30470,H,1.915,7.665,5.84
30471,H,2.041,7.705,5.766
30472,O,3.607,2.861,5.478
30473,H,3.579,2.821,5.56
30474,H,3.535,2.845,5.418
30475,O,1.767,6.045,9.019
30476,H,1.696,6.009,9.072
30477,H,1.779,5.982,8.949
30478,O,7.004,7.824,6.05
30479,H,6.923,7.874,6.047
30480,H,7.027,7.81,5.958
30481,O,7.216,2.955,7.547
30482,H,7.26,3.04,7.547
30483,H,7.123,2.976,7.557
30484,O,4.704,6.228,11.887
30485,H,4.619,6.185,11.9
30486,H,4.752,6.17,11.829
30487,O,2.286,1.084,5.394
30488,H,2.344,1.155,5.368
30489,H,2.2,1.109,5.358
30490,O,8.567,4.97,7.261
30491,H,8.472,4.964,7.267
30492,H,8.599,4.898,7.315
30493,O,5.194,1.195,7.046
30494,H,5.146,1.15,7.115
30495,H,5.14,1.271,7.025
30496,O,8.315,0.166,11.09
30497,H,8.232,0.121,11.075
30498,H,8.374,0.132,11.023
30499,O,6.819,1.982,8.865
30500,H,6.746,2.043,8.854
30501,H,6.784,1.897,8.839
30502,O,5.378,5.704,9.437
30503,H,5.436,5.678,9.508
30504,H,5.397,5.642,9.366
30505,O,3.611,2.297,11.324
30506,H,3.54,2.33,11.269
30507,H,3.627,2.366,11.388
30508,O,5.574,5.644,8.053
30509,H,5.49,5.644,8.008
30510,H,5.592,5.736,8.072
30511,O,3.561,5.341,11.868
30512,H,3.598,5.254,11.887
30513,H,3.594,5.362,11.781
30514,O,2.275,1.447,7.572
30515,H,2.315,1.435,7.659
30516,H,2.311,1.529,7.54
30517,O,6.472,6.366,6.713
30518,H,6.546,6.335,6.764
30519,H,6.478,6.461,6.718
30520,O,7.702,3.324,8.039
30521,H,7.711,3.403,7.985
30522,H,7.65,3.352,8.114
30523,O,0.036,5.985,11.155
30524,H,0.125,6.006,11.184
30525,H,-0.019,6.054,11.192
30526,O,0.214,3.178,9.922
30527,H,0.251,3.265,9.906
30528,H,0.207,3.139,9.835
30529,O,6.431,7.19,7.16
30530,H,6.49,7.116,7.177
30531,H,6.487,7.267,7.166
30532,O,6.043,1.116,6.04
30533,H,5.985,1.044,6.014
30534,H,6.057,1.165,5.959
30535,O,3.427,6.858,9.07
30536,H,3.518,6.864,9.041
30537,H,3.375,6.884,8.994
30538,O,4.795,7.126,5.014
30539,H,4.741,7.19,4.968
30540,H,4.881,7.169,5.023
30541,O,5.731,1.89,6.653
30542,H,5.782,1.965,6.681
30543,H,5.774,1.815,6.694
30544,O,2.604,4.891,9.718
30545,H,2.533,4.852,9.768
30546,H,2.673,4.906,9.783
30547,O,5.823,7.406,8.014
30548,H,5.904,7.417,7.963
30549,H,5.851,7.416,8.105
30550,O,2.547,2.795,6.141
30551,H,2.461,2.753,6.14
30552,H,2.551,2.842,6.224
30553,O,2.794,1.452,8.627
30554,H,2.71,1.498,8.626
30555,H,2.788,1.392,8.701
30556,O,1.074,7.095,9.724
30557,H,1.051,7.07,9.814
30558,H,1.143,7.16,9.735
30559,O,6.69,0.379,7.524
30560,H,6.664,0.453,7.469
30561,H,6.642,0.392,7.606
30562,O,1.982,1.381,7.837
30563,H,2.003,1.336,7.919
30564,H,2.05,1.352,7.776
30565,O,2.731,5,9.952
30566,H,2.807,5.012,10.009
30567,H,2.664,4.964,10.01
30568,O,6.596,2.113,8.822
30569,H,6.539,2.077,8.754
30570,H,6.562,2.075,8.903
30571,O,1.961,4.984,6.495
30572,H,2.009,5.032,6.563
30573,H,2.026,4.927,6.455
30574,O,5.688,7.043,6.781
30575,H,5.726,7.081,6.86
30576,H,5.755,7.059,6.713
30577,O,6.661,5.421,6.013
30578,H,6.691,5.492,5.955
30579,H,6.736,5.401,6.068
30580,O,7.133,7.719,5.448
30581,H,7.044,7.687,5.439
30582,H,7.144,7.734,5.542
30583,O,8,4.065,4.819
30584,H,7.92,4.016,4.837
30585,H,8.068,4.017,4.866
30586,O,4.906,7.084,10.368
30587,H,4.868,7.02,10.428
30588,H,5,7.066,10.369
30589,O,8.551,3.462,5.311
30590,H,8.538,3.507,5.228
30591,H,8.51,3.376,5.3
30592,O,7.905,4.397,9.544
30593,H,7.951,4.327,9.591
30594,H,7.972,4.436,9.487
30595,O,5.733,0.711,5.024
30596,H,5.674,0.657,5.077
30597,H,5.685,0.726,4.943
30598,O,1.53,0.307,6.079
30599,H,1.484,0.336,6
30600,H,1.588,0.379,6.101
30601,O,6.656,4.045,6.465
30602,H,6.75,4.031,6.451
30603,H,6.617,4.037,6.379
30604,O,2.599,7.541,6.421
30605,H,2.608,7.446,6.421
30606,H,2.604,7.566,6.514
30607,O,1.546,7.359,9.226
30608,H,1.569,7.447,9.254
30609,H,1.474,7.371,9.164
30610,O,6.317,7.265,11.667
30611,H,6.272,7.339,11.709
30612,H,6.324,7.291,11.575
30613,O,5.795,5.75,10.694
30614,H,5.758,5.746,10.606
30615,H,5.798,5.844,10.715
30616,O,4.021,3.231,6.152
30617,H,4.094,3.17,6.159
30618,H,4.063,3.316,6.138
30619,O,4.118,2.226,5.357
30620,H,4.108,2.131,5.357
30621,H,4.16,2.246,5.44
30622,O,4.295,7.566,6.65
30623,H,4.34,7.481,6.657
30624,H,4.351,7.626,6.698
30625,O,4.331,6.916,9.469
30626,H,4.31,6.878,9.384
30627,H,4.39,6.853,9.51
30628,O,6.956,1.072,8.664
30629,H,6.956,1.157,8.62
30630,H,7.048,1.055,8.683
30631,O,6.412,7.562,8.738
30632,H,6.502,7.547,8.709
30633,H,6.366,7.594,8.66
30634,O,3.994,5.549,10.879
30635,H,3.943,5.578,10.804
30636,H,3.985,5.454,10.879
30637,O,5.799,5.666,4.653
30638,H,5.724,5.687,4.597
30639,H,5.761,5.657,4.741
30640,O,2.019,0.631,6.475
30641,H,1.99,0.718,6.448
30642,H,2.052,0.643,6.564
30643,O,8.181,6.994,10.594
30644,H,8.214,6.946,10.67
30645,H,8.252,6.988,10.53
30646,O,0.203,3.41,6.813
30647,H,0.125,3.441,6.768
30648,H,0.187,3.316,6.825
30649,O,6.134,4.057,9.556
30650,H,6.048,4.072,9.517
30651,H,6.194,4.055,9.481
30652,O,3.243,5.913,10.939
30653,H,3.238,5.993,10.886
30654,H,3.226,5.842,10.876
30655,O,1.956,5.475,6.86
30656,H,2.048,5.466,6.834
30657,H,1.942,5.569,6.869
30658,O,6.724,0.269,6.359
30659,H,6.794,0.262,6.294
30660,H,6.717,0.363,6.376
30661,O,4.422,5.77,10.486
30662,H,4.391,5.716,10.559
30663,H,4.397,5.859,10.509
30664,O,2.819,0.898,6.368
30665,H,2.794,0.818,6.414
30666,H,2.881,0.869,6.302
30667,O,3.693,0.321,10.088
30668,H,3.659,0.236,10.116
30669,H,3.787,0.306,10.076
30670,O,1.702,5.631,7.604
30671,H,1.607,5.618,7.599
30672,H,1.731,5.572,7.673
30673,O,3.038,2.66,8.282
30674,H,3.05,2.752,8.256
30675,H,2.963,2.63,8.23
30676,O,4.98,6.027,6.072
30677,H,5.045,6.057,6.135
30678,H,4.956,6.106,6.023
30679,O,1.744,1.414,6.297
30680,H,1.711,1.403,6.387
30681,H,1.839,1.407,6.305
30682,O,1.97,3.976,11.204
30683,H,1.971,4.071,11.218
30684,H,1.89,3.96,11.154
30685,O,6.359,4.922,5.581
30686,H,6.305,4.963,5.648
30687,H,6.326,4.957,5.499
30688,O,5.545,0.267,8.473
30689,H,5.614,0.207,8.502
30690,H,5.488,0.277,8.549
30691,O,7.705,6.499,5.531
30692,H,7.789,6.538,5.556
30693,H,7.662,6.567,5.479
30694,O,1.427,7.746,5.55
30695,H,1.502,7.723,5.495
30696,H,1.361,7.68,5.531
30697,O,7.558,4.39,9.066
30698,H,7.608,4.47,9.074
30699,H,7.618,4.321,9.095
30700,O,1.276,3.808,10.618
30701,H,1.314,3.869,10.554
30702,H,1.349,3.752,10.643
30703,O,0.526,1.643,4.786
30704,H,0.474,1.72,4.807
30705,H,0.512,1.63,4.692
30706,O,0.612,7.572,6.295
30707,H,0.574,7.487,6.317
30708,H,0.696,7.574,6.341
30709,O,4.818,0.715,5.892
30710,H,4.799,0.808,5.901
30711,H,4.751,0.672,5.945
30712,O,0.331,3.416,9.294
30713,H,0.295,3.493,9.336
30714,H,0.255,3.373,9.254
30715,O,3.01,7.735,5.117
30716,H,3,7.711,5.025
30717,H,2.99,7.655,5.165
30718,O,5.517,3.628,5.597
30719,H,5.456,3.684,5.55
30720,H,5.587,3.61,5.534
30721,O,4.4,5.979,7.936
30722,H,4.393,6.01,8.026
30723,H,4.393,6.059,7.883
30724,O,6.409,5.107,5.941
30725,H,6.487,5.057,5.964
30726,H,6.425,5.136,5.851
30727,O,1.924,7.459,6.13
30728,H,1.869,7.528,6.168
30729,H,2.014,7.487,6.148
30730,O,6.422,4.172,10.797
30731,H,6.343,4.117,10.791
30732,H,6.475,4.131,10.865
30733,O,1.106,3.308,6.062
30734,H,1.151,3.237,6.108
30735,H,1.013,3.292,6.08
30736,O,1.524,4.227,8.03
30737,H,1.583,4.189,7.965
30738,H,1.573,4.3,8.067
30739,O,1.008,6.768,5.452
30740,H,0.919,6.798,5.437
30741,H,1.062,6.821,5.392
30742,O,7.227,1.543,7.057
30743,H,7.157,1.605,7.077
30744,H,7.198,1.461,7.097
30745,O,2.953,5.273,5.402
30746,H,2.919,5.361,5.412
30747,H,3.048,5.283,5.414
30748,O,4.472,3.801,7.352
30749,H,4.48,3.865,7.281
30750,H,4.418,3.731,7.315
30751,O,4.712,5.117,5.825
30752,H,4.776,5.051,5.85
30753,H,4.727,5.189,5.886
30754,O,3.832,4.111,11.027
30755,H,3.928,4.108,11.019
30756,H,3.814,4.201,11.053
30757,O,8.394,6.588,7.477
30758,H,8.329,6.634,7.424
30759,H,8.346,6.514,7.515
30760,O,8.227,2.571,11.264
30761,H,8.185,2.576,11.178
30762,H,8.162,2.528,11.32
30763,O,6.041,4.316,10.958
30764,H,6.023,4.294,11.049
30765,H,6.125,4.361,10.96
30766,O,1.577,7.69,6.746
30767,H,1.52,7.625,6.705
30768,H,1.587,7.759,6.681
30769,O,2.754,4.379,7.78
30770,H,2.835,4.332,7.801
30771,H,2.754,4.385,7.685
30772,O,4.022,3.918,5.752
30773,H,4.032,4.013,5.748
30774,H,4.108,3.885,5.777
30775,O,6.031,4.415,8.43
30776,H,5.948,4.4,8.384
30777,H,6.068,4.328,8.442
30778,O,2.106,7.549,10.014
30779,H,2.052,7.471,10.027
30780,H,2.179,7.519,9.96
30781,O,2.921,2.917,10.943
30782,H,2.998,2.931,10.889
30783,H,2.873,2.847,10.899
30784,O,5.498,3.347,11.543
30785,H,5.478,3.281,11.609
